              Australian Bureau of Statistics,,,,,,,,,,,
"31010do002_202312 National, state and territory population, Dec 2023",,,,,,,,,,,
Released at 11:30 am (Canberra time) Thu 13 Jun 2024,,,,,,,,,,,
"Table 8 Estimated resident population, by age and sex–at 30 June 2023",,,,,,,,,,,
Age (years),New South Wales,Victoria,Queensland,South Australia,Western Australia,Tasmania,Northern Territory,Australian Capital Territory,Australia,,
MALES,,,,,,,,,,,
44,"103,608","85,803","67,936","21,671","37,322","6,464","3,401","6,260","332,533",,
40-44,"553,938","464,573","360,026","115,601","200,724","33,480","18,128","34,246","1,781,056",,
45,"100,491","83,344","66,343","21,265","36,068","6,293","3,153","5,886","322,900",,
46,"99,595","81,861","66,636","21,489","35,534","6,169","3,111","5,903","320,348",,
47,"99,792","81,617","67,100","21,244","35,730","6,458","3,107","5,637","320,732",,
48,"100,258","82,488","67,959","21,622","35,698","6,534","3,040","5,810","323,458",,
49,"102,224","83,308","69,694","21,988","35,651","6,703","3,098","5,616","328,353",,
45-49,"502,360","412,618","337,732","107,608","178,681","32,157","15,509","28,852","1,615,791",,
50,"104,493","83,970","71,807","22,640","36,589","6,995","3,137","5,766","335,467",,
51,"108,035","87,285","73,445","23,805","38,217","7,407","3,151","5,790","347,206",,
52,"107,652","88,261","74,097","24,391","38,731","7,685","3,326","5,835","350,054",,
53,"99,285","82,915","68,931","23,377","36,148","7,325","3,188","5,405","326,649",,
54,"98,084","82,034","67,014","23,111","35,903","7,367","3,014","5,114","321,715",,
50-54,"517,549","424,465","355,294","117,324","185,588","36,779","15,816","27,910","1,681,091",,
55,"93,973","78,264","64,381","22,555","34,287","7,118","2,862","4,883","308,388",,
56,"92,598","75,646","63,437","22,002","33,361","7,001","2,817","4,647","301,576",,
57,"92,610","75,394","62,377","22,255","33,277","6,816","2,717","4,660","300,179",,
58,"94,498","75,447","63,118","22,681","33,209","7,208","2,624","4,593","303,442",,
59,"97,807","76,481","65,155","23,125","33,686","7,746","2,585","4,517","311,179",,
55-59,"471,486","381,232","318,468","112,618","167,820","35,889","13,605","23,300","1,524,764",,
60,"99,502","77,286","65,301","23,465","33,707","7,774","2,605","4,445","314,165",,
61,"98,729","76,186","64,750","23,401","32,979","8,145","2,539","4,470","311,287",,
62,"96,976","75,132","64,042","23,648","32,614","8,097","2,463","4,321","307,363",,
63,"93,305","72,477","61,189","22,857","31,390","7,815","2,263","4,181","295,559",,
64,"91,174","71,331","59,656","22,507","30,463","7,655","2,186","3,964","289,016",,
60-64,"479,686","372,412","314,938","115,878","161,153","39,486","12,056","21,381","1,517,390",,
65,"89,747","68,996","57,934","21,738","29,349","7,490","2,007","3,883","281,224",,
66,"86,882","67,152","56,129","21,384","28,638","7,374","1,965","3,790","273,387",,
67,"84,084","65,838","54,865","20,894","28,416","7,249","1,800","3,661","266,880",,
68,"81,754","63,505","53,111","20,283","26,905","6,982","1,672","3,417","257,704",,
69,"78,922","61,093","51,348","19,796","25,796","6,773","1,617","3,437","248,834",,
